"Subscription","Name","Count"
"DEVTEST-GOV-INTERNAL","Standard_D4_v3","1"
"DEVTEST-GOV-INTERNAL","Standard_A4_v2","96"
"DEVTEST-GOV-INTERNAL","Standard_E16s_v3","20"
"DEVTEST-GOV-INTERNAL","Standard_DS3_v2","3"
"DEVTEST-GOV-INTERNAL","Standard_F4s_v2","1"
"DEVTEST-GOV-INTERNAL","Standard_A7","5"
"DEVTEST-GOV-INTERNAL","Standard_DS2","1"
"DEVTEST-GOV-INTERNAL","Standard_DS1_v2","1"
"DEVTEST-GOV-INTERNAL","Standard_D2s_v3","3"
"DEVTEST-GOV-INTERNAL","Standard_A5","1"
"DEVTEST-GOV-INTERNAL","Standard_A1_v2","2"
"DEVTEST-GOV-INTERNAL","Standard_DS12_v2","1"
"DEVTEST-GOV-INTERNAL","Standard_F8","1"
"DEVTEST-GOV-INTERNAL","Standard_L16s","3"
"DEVTEST-GOV-INTERNAL","Standard_A2_v2","56"
"DEVTEST-GOV-INTERNAL","Standard_F16s","2"
"DEVTEST-GOV-INTERNAL","Standard_D2_v2","15"
"DEVTEST-GOV-INTERNAL","Standard_F4s","19"
"DEVTEST-GOV-INTERNAL","Standard_DS2_v2","2"
"DEVTEST-GOV-INTERNAL","Standard_DS2_v2_Promo","1"
"DEVTEST-GOV-INTERNAL","Standard_F8s","5"
"DEVTEST-GOV-INTERNAL","Standard_A8_v2","11"
"DEVTEST-GOV-INTERNAL","Standard_A2m_v2","6"
"PREPROD-GOV-INTERNAL","Standard_DS3_v2","17"
"PREPROD-GOV-INTERNAL","Standard_D4s_v3","26"
"PREPROD-GOV-INTERNAL","Standard_E16s_v3","10"
"PREPROD-GOV-INTERNAL","Standard_D2s_v3","1"
"PREPROD-GOV-INTERNAL","Standard_DS1_v2","1"
"PREPROD-GOV-INTERNAL","Standard_A4m_v2","9"
"PREPROD-GOV-INTERNAL","Standard_D3_v2","3"
"PREPROD-GOV-INTERNAL","Standard_L32s","2"
"PREPROD-GOV-INTERNAL","Standard_F16S","4"
"PREPROD-GOV-INTERNAL","Standard_D13_v2","5"
"PREPROD-GOV-INTERNAL","Standard_E32s_v3","9"
"PREPROD-GOV-INTERNAL","Standard_DS3_v2_Promo","9"
"PREPROD-GOV-INTERNAL","Standard_B2s","1"
"PREPROD-GOV-INTERNAL","Standard_F8s_v2","29"
"PREPROD-GOV-INTERNAL","Standard_DS11_v2","1"
"PREPROD-GOV-INTERNAL","Standard_L16S","10"
"PREPROD-GOV-INTERNAL","Standard_D2_v2_Promo","3"
"PREPROD-GOV-INTERNAL","Standard_E32-16s_v3","3"
"PREPROD-GOV-INTERNAL","Standard_A8_v2","9"
"PREPROD-GOV-INTERNAL","Standard_D2_v2","16"
"PREPROD-GOV-INTERNAL","Standard_F8s","5"
"PREPROD-GOV-INTERNAL","Standard_A2m_v2","2"
"PREPROD-GOV-INTERNAL","Standard_F4s","16"
"PREPROD-GOV-INTERNAL","Standard_D8s_v3","3"
"PREPROD-GOV-INTERNAL","Standard_A4_v2","181"
"PREPROD-GOV-INTERNAL","Standard_A2_v2","21"
"PREPROD-GOV-INTERNAL","Standard_A7","6"
"PROD-GOV-INTERNAL","Standard_DS3_v2","25"
"PROD-GOV-INTERNAL","Standard_DS5_v2_Promo","2"
"PROD-GOV-INTERNAL","Standard_D4s_v3","56"
"PROD-GOV-INTERNAL","Standard_E16s_v3","2"
"PROD-GOV-INTERNAL","Standard_D2s_v3","3"
"PROD-GOV-INTERNAL","Standard_DS1_v2","1"
"PROD-GOV-INTERNAL","Standard_DS13_v2","2"
"PROD-GOV-INTERNAL","Standard_D3_v2","7"
"PROD-GOV-INTERNAL","Standard_L32s","2"
"PROD-GOV-INTERNAL","Standard_F16S","2"
"PROD-GOV-INTERNAL","Standard_D13_v2","4"
"PROD-GOV-INTERNAL","Standard_E32s_v3","13"
"PROD-GOV-INTERNAL","Standard_F8s_v2","34"
"PROD-GOV-INTERNAL","Standard_L16S","4"
"PROD-GOV-INTERNAL","Standard_D2_v2","6"
"PROD-GOV-INTERNAL","Standard_D2_v2_Promo","2"
"PROD-GOV-INTERNAL","Standard_DS5_v2","10"
"PROD-GOV-INTERNAL","Standard_A1_v2","1"
"PROD-GOV-INTERNAL","Standard_A8_v2","7"
"PROD-GOV-INTERNAL","Standard_DS2_v2","3"
"PROD-GOV-INTERNAL","Standard_F8s","7"
"PROD-GOV-INTERNAL","Standard_DS2_v2_Promo","1"
"PROD-GOV-INTERNAL","Standard_A2m_v2","5"
"PROD-GOV-INTERNAL","Standard_F4s","4"
"PROD-GOV-INTERNAL","Standard_D8s_v3","4"
"PROD-GOV-INTERNAL","Standard_A4_v2","108"
"PROD-GOV-INTERNAL","Standard_A2_v2","16"
"PROD-GOV-INTERNAL","Standard_A7","2"
