"Name","Subscription","ResourceGroupName","Location","OsType","Size","TargetSize","AvailabilitySet","Group"
"VAAZTIAMAPP300","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Windows","Standard_A4_v2","Standard_F4","ACSPREPROD2_AS_APP300_VALOGON","1"
"VAAZTIAMAPP301","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Windows","Standard_A4_v2","Standard_F4","ACSPREPROD2_AS_APP300_VALOGON","2"
"VAAZTIAMAPP304","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Windows","Standard_A4_v2","Standard_F4","ACSPREPROD2_AS_APP300_ESIG","1"
"VAAZTIAMAPP305","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Windows","Standard_A4_v2","Standard_F4","ACSPREPROD2_AS_APP300_ESIG","2"
"VAAZTIAMAPP306","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Windows","Standard_A8_v2","Standard_F8","ACSPREPROD2_AS_APP300_AMS-VDT","1"
"VAAZTIAMAPP307","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Windows","Standard_A8_v2","Standard_F8","ACSPREPROD2_AS_APP300_AMS-VDT","2"
"VAAZTIAMAPP310","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Linux","Standard_A2_v2","Standard_F2","ACSPREPROD2_AS_APP300_SSO","3"
"VAAZTIAMASM300","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Windows","Standard_A4_v2","Standard_D4s_v3","","1"
"VAAZTIAMLDS300","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Windows","Standard_A4_v2","Standard_D4s_v3","","1"
"VAAZTIAMLDS301","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Windows","Standard_A4_v2","Standard_D4s_v3","","1"
"VAAZTIAMLDS302","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Windows","Standard_A4_v2","Standard_D4s_v3","","2"
"VAAZTIAMPDP300","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Windows","Standard_A4_v2","Standard_F4","ACSPREPROD2_AS_PDP300","1"
"VAAZTIAMPDP301","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Windows","Standard_A4_v2","Standard_F4","ACSPREPROD2_AS_PDP300","2"
"VAAZTIAMSPS300","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Windows","Standard_A4_v2","Standard_F4","ACSPREPROD2_AS_SPS300","1"
"VAAZTIAMSPS301","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Windows","Standard_A4_v2","Standard_F4","ACSPREPROD2_AS_SPS300","2"
"VAAZTIAMSSO300","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Linux","Standard_A2_v2","Standard_F2","ACSPREPROD2_AS_SSO300","3"
"VAAZTIAMSSO301","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Linux","Standard_A2_v2","Standard_F2","ACSPREPROD2_AS_SSO300","4"
"VAAZTIAMUTL300","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Windows","Standard_A4_v2","Standard_D4s_v3","","3"
"VAAZTIAMWEB300","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Windows","Standard_A4_v2","Standard_F4","ACSPREPROD2_AS_WEB300_CL","1"
"VAAZTIAMWEB301","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Windows","Standard_A4_v2","Standard_F4","ACSPREPROD2_AS_WEB300_CL","2"
"VAAZTIAMWEB302","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Windows","Standard_A4_v2","Standard_F4","ACSPREPROD2_AS_WEB300_CL","1"
"VAAZTIAMWEB303","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Windows","Standard_A4_v2","Standard_F4","ACSPREPROD2_AS_WEB300_PIV","2"
"VAAZTIAMWEB304","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Windows","Standard_A4_v2","Standard_F4","ACSPREPROD2_AS_WEB300_PIV","1"
"VAAZTIAMWEB308","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Windows","Standard_A4_v2","Standard_F4","ACSPREPROD2_AS_WEB300_SAML","1"
"VAAZTIAMWEB309","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Windows","Standard_A4_v2","Standard_F4","ACSPREPROD2_AS_WEB300_SAML","2"
"VAAZTIAMWEB310","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Windows","Standard_A4_v2","Standard_F4","ACSPREPROD2_AS_WEB300_UNAUTHAMS","1"
"VAAZTIAMWEB311","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Windows","Standard_A4_v2","Standard_F4","ACSPREPROD2_AS_WEB300_UNAUTHAMS","2"
"VAAZTIAMWEB312","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Windows","Standard_A4_v2","Standard_F4","ACSPREPROD2_AS_WEB300_SAML","1"
"VAAZTIAMWEB313","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Windows","Standard_A4_v2","Standard_F4","ACSPREPROD2_AS_WEB300_PIV","2"
"VAAZTIAMWEB314","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Windows","Standard_A4_v2","Standard_F4","ACSPREPROD2_AS_WEB300_CL","1"
"VAAZTIAMWEB315","PREPROD-GOV-INTERNAL","ACSPREPRODDR-PROD-INT-SOUTH-RG","usgovtexas","Windows","Standard_A4_v2","Standard_F4","ACSPREPROD2_AS_WEB300_SAML","2"
